user_id,gender,age,z_neuroticism,z_extraversion,z_openness,z_agreeableness,z_conscientiousness
0,女性,40代,0.9073516711,-0.7539435985,-0.9267462349,-0.104251722,0.08907943332
1,男性,50代,0.6371294521,-1.1379616,-1.471793031,-1.42998612,-1.529196939
2,女性,20代,0.09668501414,0.3981104048,0.8900764198,-1.051204864,-0.6465007358
3,男性,50代,1.17757389,-0.9459525991,-0.5633817039,1.032092048,0.2361954671
4,男性,40代,0.09668501414,-0.561934598,-0.200017173,0.08513890632,0.6775435686
5,男性,30代,-0.1735372049,-0.3699255974,-0.5633817039,0.463920163,-1.234964871
6,男性,30代,0.9073516711,-1.3299706,-0.200017173,-1.240595492,0.6775435686
7,男性,50代,0.3669072331,-0.561934598,-0.3816994385,0.6533107913,-1.087848837
8,男性,30代,0.09668501414,-0.7539435985,-0.01833490752,-0.672423607,-0.3522686681
9,男性,40代,0.9073516711,0.2061014043,-1.1084285,0.08513890632,-1.234964871
10,男性,30代,-0.7139816428,-0.561934598,-0.01833490752,-0.672423607,1.11889167
11,男性,30代,-1.254426081,1.934182409,1.253440951,-0.104251722,0.2361954671
12,男性,40代,-0.4437594239,-0.3699255974,0.8900764198,0.8427014197,1.11889167
13,男性,40代,-2.065092738,1.550164408,-0.01833490752,0.8427014197,0.383311501
14,男性,40代,0.3669072331,-0.3699255974,-0.7450639694,-1.619376749,-1.676312972
15,男性,40代,-2.065092738,1.550164408,1.071758685,1.221482676,0.8246596024
16,男性,30代,1.17757389,-1.3299706,-1.290110766,1.600263933,0.6775435686
17,男性,40代,0.9073516711,-0.7539435985,-0.3816994385,0.08513890632,-0.6465007358
18,男性,50代,1.17757389,-1.1379616,-0.5633817039,-2.376939262,-1.234964871
19,男性,40代,0.9073516711,1.166146407,1.071758685,-0.2936423504,1.266007704
20,女性,30代,-0.9842038618,0.3981104048,-0.01833490752,1.410873305,1.11889167
21,女性,30代,-0.4437594239,1.166146407,2.343534544,-0.672423607,0.383311501
22,男性,30代,1.17757389,-0.561934598,-1.471793031,-2.755720519,0.2361954671
23,男性,50代,1.17757389,-0.1779165968,-0.200017173,-1.240595492,-1.234964871
24,男性,50代,-0.7139816428,0.2061014043,0.1633473579,0.08513890632,0.383311501
25,男性,50代,1.17757389,0.01409240371,-0.5633817039,-0.2936423504,0.8246596024
26,女性,20代,0.9073516711,-0.7539435985,-1.471793031,-2.755720519,-2.559009175
27,男性,30代,0.6371294521,0.01409240371,-1.290110766,0.2745295347,-0.0580366005
28,男性,40代,1.17757389,-1.3299706,-0.200017173,1.221482676,0.383311501
29,男性,40代,-0.7139816428,0.7821284059,-0.01833490752,0.6533107913,0.8246596024
30,女性,50代,-1.254426081,1.166146407,0.8900764198,0.6533107913,0.6775435686
31,女性,40代,-2.335314957,2.31820041,0.7083941544,1.221482676,0.6775435686
32,男性,40代,-0.9842038618,1.550164408,1.616805482,-1.42998612,1.11889167
33,男性,50代,0.9073516711,-0.7539435985,0.1633473579,-1.051204864,-1.97054504
34,男性,40代,1.17757389,-1.1379616,-1.290110766,-0.104251722,-1.382080905
35,男性,40代,0.9073516711,-1.1379616,0.3450296234,-0.104251722,-0.7936167696
36,男性,20代,1.447796109,-0.9459525991,-0.01833490752,1.032092048,-0.0580366005
37,女性,30代,0.6371294521,-1.521979601,-1.1084285,-1.998158005,-1.97054504
38,女性,40代,-0.7139816428,0.9741374065,1.253440951,-0.672423607,1.11889167
39,男性,30代,0.09668501414,0.3981104048,0.5267118889,0.08513890632,0.6775435686
40,女性,60代,1.17757389,-0.3699255974,-0.200017173,0.08513890632,-0.3522686681
41,男性,40代,0.3669072331,0.01409240371,-0.3816994385,0.2745295347,-0.2051526343
42,男性,50代,0.09668501414,1.166146407,-0.200017173,0.463920163,-1.676312972
43,女性,30代,-1.254426081,-0.3699255974,-0.01833490752,0.463920163,-0.9407328034
44,男性,60代,-1.794870519,0.3981104048,1.798487747,-0.8618142354,1.11889167
45,男性,40代,-0.1735372049,-0.1779165968,0.1633473579,0.2745295347,0.6775435686
46,いずれにも該当しない,30代,-0.9842038618,0.7821284059,1.616805482,1.789654561,-0.2051526343
47,女性,40代,0.9073516711,-1.521979601,-1.653475297,1.221482676,-0.9407328034
48,男性,60代,-0.7139816428,-1.1379616,0.1633473579,0.463920163,0.8246596024
49,男性,30代,-0.4437594239,1.934182409,1.980170013,0.8427014197,1.413123738
50,男性,30代,0.9073516711,-1.3299706,-1.653475297,-0.672423607,-1.087848837
51,男性,40代,-2.335314957,2.31820041,1.616805482,1.789654561,1.11889167
52,男性,30代,-0.1735372049,-0.3699255974,-0.200017173,-1.051204864,0.08907943332
53,男性,30代,0.6371294521,-0.9459525991,-1.290110766,0.2745295347,-0.2051526343
54,男性,40代,-0.7139816428,-0.561934598,1.071758685,0.6533107913,1.11889167
55,男性,40代,0.9073516711,-0.9459525991,-0.200017173,-0.104251722,1.11889167
56,女性,40代,0.6371294521,-0.7539435985,-1.1084285,-1.240595492,0.383311501
57,男性,30代,-0.4437594239,0.3981104048,-0.01833490752,-0.672423607,0.08907943332
58,女性,40代,-1.254426081,1.166146407,1.798487747,-0.104251722,-0.6465007358
59,女性,40代,1.17757389,-0.561934598,-1.290110766,-0.104251722,0.08907943332
60,女性,30代,0.9073516711,0.9741374065,0.7083941544,-1.240595492,0.2361954671
61,男性,50代,-2.065092738,1.934182409,2.161852278,0.08513890632,0.9717756362
62,男性,40代,0.09668501414,-0.3699255974,-0.200017173,-0.2936423504,-0.7936167696
63,男性,20代,1.17757389,-1.521979601,-0.5633817039,-1.240595492,0.08907943332
64,女性,40代,-0.1735372049,1.742173409,2.343534544,-0.672423607,1.11889167
65,男性,50代,-0.9842038618,0.01409240371,1.071758685,0.6533107913,-1.382080905
66,女性,20代,-0.7139816428,-1.521979601,-1.290110766,0.463920163,0.9717756362
67,男性,40代,0.6371294521,-1.1379616,0.1633473579,1.410873305,0.5304275348
68,男性,30代,0.9073516711,0.01409240371,1.071758685,-0.104251722,0.383311501
69,女性,40代,0.9073516711,0.2061014043,-2.016839828,-2.376939262,-2.706125209
70,女性,40代,0.09668501414,1.358155408,0.1633473579,-0.672423607,-1.234964871
71,男性,40代,-0.7139816428,-0.3699255974,-0.200017173,1.221482676,0.2361954671
72,男性,50代,-2.065092738,0.3981104048,1.798487747,1.600263933,1.11889167
73,男性,40代,0.3669072331,-1.3299706,0.3450296234,-0.104251722,-1.676312972
74,男性,40代,-0.7139816428,0.2061014043,-0.9267462349,0.463920163,0.9717756362
75,男性,50代,-2.335314957,0.5901194054,1.798487747,1.410873305,1.11889167
76,女性,60代,0.3669072331,0.5901194054,0.7083941544,-0.104251722,-0.3522686681
77,男性,30代,0.3669072331,-0.3699255974,1.071758685,0.463920163,0.08907943332
78,男性,40代,0.09668501414,-0.3699255974,-0.5633817039,-0.4830329787,-0.7936167696
79,男性,40代,-0.1735372049,0.5901194054,0.8900764198,-0.2936423504,-2.117661074
80,男性,30代,-1.5246483,1.550164408,-0.01833490752,1.032092048,-1.234964871
81,女性,50代,0.09668501414,-0.3699255974,-0.3816994385,-0.104251722,-0.0580366005
82,女性,50代,-0.9842038618,0.5901194054,-1.290110766,-0.4830329787,0.08907943332
83,女性,40代,0.6371294521,0.9741374065,0.3450296234,0.08513890632,1.413123738
84,女性,30代,0.6371294521,-0.3699255974,-0.5633817039,-0.672423607,-0.3522686681
85,女性,30代,0.9073516711,-0.3699255974,0.3450296234,1.410873305,1.266007704
86,男性,50代,0.6371294521,-0.561934598,-0.3816994385,0.2745295347,-0.9407328034
87,男性,40代,0.9073516711,-1.1379616,0.5267118889,-0.4830329787,0.5304275348
88,男性,40代,0.6371294521,0.3981104048,-0.200017173,-0.104251722,-0.7936167696
89,女性,50代,0.09668501414,-0.3699255974,-0.200017173,-0.104251722,0.6775435686
90,女性,40代,-0.4437594239,1.550164408,0.5267118889,1.221482676,1.413123738
91,男性,40代,0.6371294521,-1.1379616,-0.7450639694,0.463920163,0.383311501
92,男性,60代,-0.1735372049,1.550164408,-0.3816994385,0.8427014197,0.9717756362
93,男性,50代,0.3669072331,-1.521979601,-0.7450639694,0.463920163,0.08907943332
94,女性,50代,-0.4437594239,0.7821284059,0.7083941544,-0.2936423504,-0.4993847019
95,男性,40代,-0.4437594239,-0.1779165968,-0.3816994385,0.6533107913,0.9717756362
96,女性,40代,0.9073516711,0.01409240371,-1.471793031,0.8427014197,1.413123738
97,男性,50代,0.3669072331,0.01409240371,-0.01833490752,1.221482676,1.266007704
98,男性,40代,1.447796109,0.5901194054,-1.290110766,0.8427014197,-0.9407328034
99,男性,30代,-1.794870519,0.7821284059,-0.3816994385,0.08513890632,-0.2051526343
100,女性,40代,0.6371294521,-0.9459525991,-1.653475297,-2.755720519,-0.3522686681
101,女性,20代,-1.5246483,1.166146407,1.616805482,-0.8618142354,-1.676312972
102,女性,50代,0.09668501414,0.5901194054,-0.01833490752,0.2745295347,-0.2051526343
103,女性,60代,0.9073516711,-0.9459525991,-1.290110766,1.032092048,0.2361954671
104,男性,40代,-2.065092738,0.7821284059,-0.01833490752,0.6533107913,1.266007704
105,女性,30代,1.17757389,-1.3299706,0.1633473579,0.2745295347,-0.4993847019
106,女性,40代,0.09668501414,1.166146407,0.3450296234,-0.4830329787,1.11889167
107,男性,40代,-0.1735372049,0.7821284059,0.3450296234,-0.8618142354,-0.4993847019
108,男性,40代,-0.4437594239,-1.3299706,-1.1084285,0.6533107913,0.5304275348